Feeder,Inventory,Blackout_count,Age,City,Inventory_Blackout_count,Inventory_Blackout_mean,Diff,Customer_count,Duration
BAA000-18,BAA000,1,3,ANKARA,14,2,-1,4607,0.501944444
BAA000-19,BAA000,2,3,ANKARA,14,2,0,584,0.122083333
BAA000-24,BAA000,2,3,ANKARA,14,2,0,100,0.195694444
BAA000-3,BAA000,3,3,ANKARA,14,2,1,1690,0.37074074
BAA000-4,BAA000,1,3,ANKARA,14,2,-1,100,0.158333333
BAA000-5,BAA000,2,3,ANKARA,14,2,0,3524.5,1.886111111
BAA000-8,BAA000,3,3,ANKARA,14,2,1,306,0.177037037
BAA002-2,BAA002,1,37,ANKARA,4,1,0,976,1.968055555
BAA002-3,BAA002,1,37,ANKARA,4,1,0,825,1.47
BAA002-4,BAA002,1,37,ANKARA,4,1,0,432,0.143333333
BAA002-6,BAA002,1,37,ANKARA,4,1,0,976,1.765
BAA016-1,BAA016,8,61,ANKARA,80,4.705882353,3.294117647,1112.5,0.999749305
BAA016-10,BAA016,5,61,ANKARA,80,4.705882353,0.294117647,2969.2,0.178999999
BAA016-11,BAA016,2,61,ANKARA,80,4.705882353,-2.705882353,5941,0.778194444
BAA016-12,BAA016,3,61,ANKARA,80,4.705882353,-1.705882353,20650,0.014814814
BAA016-19,BAA016,13,61,ANKARA,80,4.705882353,8.294117647,79.53846154,0.296004273
BAA016-21,BAA016,2,61,ANKARA,80,4.705882353,-2.705882353,88.5,0.028333333
BAA016-22,BAA016,7,61,ANKARA,80,4.705882353,2.294117647,45.42857143,0.715055555
BAA016-23,BAA016,5,61,ANKARA,80,4.705882353,0.294117647,742.4,0.091884666
BAA016-25,BAA016,3,61,ANKARA,80,4.705882353,-1.705882353,23,1.703055555
BAA016-26,BAA016,3,61,ANKARA,80,4.705882353,-1.705882353,749.3333333,0.424629629
BAA016-27,BAA016,13,61,ANKARA,80,4.705882353,8.294117647,748.3076923,0.3558547
BAA016-3,BAA016,1,61,ANKARA,80,4.705882353,-3.705882353,3822,0.360833333
BAA016-30,BAA016,5,61,ANKARA,80,4.705882353,0.294117647,203,0.092444444
BAA016-33,BAA016,2,61,ANKARA,80,4.705882353,-2.705882353,2617.5,0.530277778
BAA016-34,BAA016,5,61,ANKARA,80,4.705882353,0.294117647,961.8,1.244111111
BAA016-8,BAA016,1,61,ANKARA,80,4.705882353,-3.705882353,2494,0.189722222
BAA016-9,BAA016,2,61,ANKARA,80,4.705882353,-2.705882353,1178.5,0.048472222
BAA019-1,BAA019,28,13,ANKARA,155,31,-3,2477.142857,0.636071428
BAA019-2,BAA019,7,13,ANKARA,155,31,-24,1781.428571,0.646825396
BAA019-3,BAA019,105,13,ANKARA,155,31,74,219.447619,0.844217082
BAA019-4,BAA019,4,13,ANKARA,155,31,-27,2,0.145833333
BAA019-5,BAA019,11,13,ANKARA,155,31,-20,369.2727273,0.590033333
BAA021-10,BAA021,1,37,ANKARA,156,6.24,-5.24,4408,0.310833333
BAA021-11,BAA021,14,37,ANKARA,156,6.24,7.76,857.0714286,0.400218254
BAA021-17,BAA021,11,37,ANKARA,156,6.24,4.76,11950.81818,0.187651515
BAA021-18,BAA021,5,37,ANKARA,156,6.24,-1.24,2779.8,0.188277778
BAA021-2,BAA021,2,37,ANKARA,156,6.24,-4.24,8345,1.890277777
BAA021-22,BAA021,13,37,ANKARA,156,6.24,6.76,2484.615385,0.470940171
BAA021-30,BAA021,8,37,ANKARA,156,6.24,1.76,3,0.109618055
BAA021-31,BAA021,13,37,ANKARA,156,6.24,6.76,790.9230769,0.294465812
BAA021-36,BAA021,2,37,ANKARA,156,6.24,-4.24,704,0.113611111
BAA021-37,BAA021,8,37,ANKARA,156,6.24,1.76,771,0.156840277
BAA021-38,BAA021,4,37,ANKARA,156,6.24,-2.24,2971,0.442847222
BAA021-39,BAA021,1,37,ANKARA,156,6.24,-5.24,2041,3.283611111
BAA021-43,BAA021,11,37,ANKARA,156,6.24,4.76,4571.636364,0.573086515
BAA021-45,BAA021,13,37,ANKARA,156,6.24,6.76,3135,0.29502735
BAA021-47,BAA021,1,37,ANKARA,156,6.24,-5.24,29447,0.016666666
BAA021-48,BAA021,5,37,ANKARA,156,6.24,-1.24,6434.4,0.566680555
BAA021-5,BAA021,2,37,ANKARA,156,6.24,-4.24,445,0.469722222
BAA021-50,BAA021,2,37,ANKARA,156,6.24,-4.24,528.5,0.294027778
BAA021-51,BAA021,2,37,ANKARA,156,6.24,-4.24,2279,0.063112916
BAA021-53,BAA021,7,37,ANKARA,156,6.24,0.76,2719.857143,0.259206349
BAA021-54,BAA021,1,37,ANKARA,156,6.24,-5.24,673,2.274722222
BAA021-61,BAA021,7,37,ANKARA,156,6.24,0.76,763,0.516666666
BAA021-64,BAA021,5,37,ANKARA,156,6.24,-1.24,1527.4,0.327055555
BAA021-7,BAA021,7,37,ANKARA,156,6.24,0.76,1269.142857,0.96031746
BAA021-8,BAA021,11,37,ANKARA,156,6.24,4.76,4872.818182,0.623282828
BAA023-10,BAA023,8,31,ANKARA,52,6.5,1.5,721,0.214049861
BAA023-3,BAA023,2,31,ANKARA,52,6.5,-4.5,6017.5,0.408055555
BAA023-4,BAA023,1,31,ANKARA,52,6.5,-5.5,5,0.041388888
